Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
187	0.651244	0.515834	0.551077	0.307881	0.45919	0.159975	0.527157	0.27807	
188	0.650524	0.515114	0.551077	0.306463	0.45886	0.158447	0.52687	0.276731	
189	0.650422	0.514908	0.55075	0.306299	0.458158	0.157703	0.52641	0.276291	
190	0.651244	0.513778	0.551132	0.306081	0.457621	0.156588	0.526449	0.275487	
191	0.651141	0.51388	0.551023	0.305318	0.457249	0.155845	0.526219	0.274894	
192	0.651861	0.513058	0.551132	0.303954	0.457538	0.155101	0.526525	0.273919	
193	0.651964	0.512852	0.550804	0.303409	0.457414	0.154482	0.526372	0.273402	
194	0.652478	0.511618	0.550368	0.302591	0.457208	0.155308	0.526219	0.273268	
195	0.652375	0.510076	0.550532	0.302754	0.457249	0.154523	0.526277	0.272675	
196	0.653198	0.510282	0.550259	0.301663	0.457001	0.154069	0.526219	0.27212	
197	0.65402	0.509973	0.549986	0.301391	0.456712	0.153656	0.526143	0.271776	
198	0.654431	0.508225	0.549986	0.300245	0.456258	0.152788	0.526009	0.270647	
199	0.655048	0.508842	0.549768	0.299209	0.456423	0.151962	0.526123	0.270016	
200	0.655357	0.508842	0.549223	0.297846	0.456175	0.150764	0.525875	0.268983	
201	0.655562	0.508225	0.548896	0.296155	0.456216	0.150268	0.525817	0.268045	
202	0.655562	0.507608	0.548896	0.295446	0.455927	0.149773	0.525683	0.267452	
203	0.656179	0.508739	0.548568	0.294682	0.455762	0.148823	0.525607	0.266955	
204	0.656693	0.508842	0.548677	0.29381	0.455803	0.148286	0.52576	0.266419	
205	0.656591	0.508945	0.549114	0.293646	0.455762	0.147749	0.525875	0.266132	
206	0.656076	0.509459	0.548623	0.292392	0.455556	0.147542	0.525511	0.265692	
207	0.655254	0.509048	0.548132	0.290974	0.45506	0.146964	0.524956	0.26485	
208	0.655357	0.509151	0.547423	0.289883	0.45539	0.146923	0.52488	0.264468	
209	0.656282	0.508534	0.546659	0.289555	0.455225	0.146303	0.524708	0.263951	
210	0.655871	0.508123	0.546605	0.28901	0.455349	0.14589	0.52467	0.263492	
211	0.655357	0.507711	0.547096	0.288356	0.455556	0.145601	0.524842	0.263052	
212	0.654843	0.506477	0.54715	0.288628	0.456051	0.145188	0.524995	0.262727	
213	0.654534	0.505141	0.546768	0.287701	0.455969	0.144568	0.524765	0.261866	
214	0.656488	0.504524	0.546441	0.285956	0.455514	0.143329	0.524803	0.260565	
215	0.656899	0.503599	0.546332	0.284211	0.455886	0.143949	0.525014	0.260068	
216	0.65803	0.504627	0.546332	0.283229	0.456134	0.143536	0.525339	0.259723	
217	0.657619	0.503907	0.545732	0.283229	0.455762	0.143288	0.52488	0.259475	
218	0.657619	0.502982	0.54475	0.282902	0.455803	0.142668	0.524555	0.258901	
219	0.656796	0.501234	0.544805	0.282302	0.455845	0.143081	0.52444	0.258556	
220	0.657207	0.501028	0.543878	0.280829	0.455597	0.14242	0.524076	0.257695	
221	0.657207	0.500514	0.543332	0.279847	0.455308	0.141925	0.523751	0.257026	
222	0.656591	0.500103	0.543387	0.279411	0.455184	0.141057	0.523598	0.256395	
223	0.656591	0.499692	0.543496	0.278975	0.455349	0.140603	0.523713	0.255955	
224	0.656796	0.498663	0.543987	0.278429	0.455514	0.140231	0.524	0.2554	
225	0.656796	0.498046	0.54366	0.277011	0.455679	0.140273	0.523962	0.254807	
226	0.657207	0.496915	0.544096	0.277229	0.455803	0.140025	0.524249	0.254558	
227	0.657413	0.497121	0.544096	0.275375	0.455556	0.139818	0.524172	0.25385	
228	0.65731	0.497121	0.544096	0.274502	0.455349	0.139033	0.524057	0.253181	
229	0.657619	0.497018	0.543442	0.274339	0.454895	0.139281	0.523675	0.253219	
230	0.658647	0.496504	0.543823	0.274066	0.454729	0.138662	0.523923	0.252741	
231	0.658441	0.495373	0.543442	0.273957	0.454812	0.138951	0.523789	0.252626	
232	0.65803	0.495373	0.543223	0.27363	0.454936	0.13829	0.523694	0.252205	
233	0.657927	0.495065	0.542896	0.273412	0.45539	0.138207	0.52377	0.252033	
