Day	peri_infected_0_0	plac_infected_0_0	peri_infected_1_2	plac_infected_1_2	peri_infected_3_max	plac_infected_3_max	peri_infected_all	plac_infected_all	
118	0.614087	0.573162	0.543677	0.414805	0.460579	0.264339	0.518285	0.374574	
119	0.615013	0.573162	0.54466	0.412893	0.460826	0.261612	0.518916	0.37264	
120	0.615835	0.572648	0.545042	0.410216	0.46095	0.259091	0.519261	0.370438	
121	0.617686	0.571517	0.545589	0.40743	0.461074	0.256281	0.519854	0.367949	
122	0.618406	0.57162	0.546299	0.405081	0.460744	0.253306	0.520084	0.365767	
123	0.619743	0.57162	0.546572	0.403496	0.461074	0.251446	0.520582	0.36435	
124	0.620154	0.571003	0.54679	0.401475	0.461364	0.249215	0.520869	0.362493	
125	0.621183	0.570694	0.546845	0.399891	0.461818	0.247149	0.52129	0.360923	
126	0.622314	0.56946	0.547009	0.398033	0.461942	0.244917	0.521616	0.359008	
127	0.624267	0.569254	0.54761	0.394318	0.462231	0.242686	0.522324	0.356634	
128	0.624884	0.57018	0.547883	0.392461	0.462149	0.240992	0.522497	0.35537	
129	0.626015	0.568946	0.548593	0.390822	0.462314	0.239256	0.523033	0.353762	
130	0.627249	0.569049	0.54985	0.389074	0.462686	0.237314	0.523875	0.352269	
131	0.627866	0.567301	0.550505	0.387107	0.462727	0.235496	0.524239	0.350412	
132	0.6291	0.566272	0.550505	0.38525	0.462479	0.233264	0.524354	0.348535	
133	0.62982	0.564833	0.551106	0.382901	0.462397	0.230579	0.52466	0.3462	
134	0.630334	0.564216	0.551434	0.381207	0.462355	0.228347	0.524852	0.344457	
135	0.631157	0.563805	0.552417	0.380115	0.462397	0.226612	0.525369	0.343194	
136	0.632082	0.562879	0.552363	0.378476	0.462273	0.224463	0.525464	0.341451	
137	0.632596	0.562262	0.552581	0.376236	0.462025	0.22219	0.525522	0.339498	
138	0.633419	0.560925	0.553073	0.375471	0.462025	0.220496	0.525847	0.338196	
139	0.634447	0.560411	0.55351	0.37416	0.462025	0.217273	0.526192	0.336148	
